,Date,Price,Year,Month
2,1990-08-20,1.191,1990,8
3,1990-08-27,1.245,1990,8
5,1990-09-03,1.242,1990,9
6,1990-09-10,1.252,1990,9
7,1990-09-17,1.266,1990,9
8,1990-09-24,1.272,1990,9
10,1990-10-01,1.321,1990,10
11,1990-10-08,1.333,1990,10
12,1990-10-15,1.339,1990,10
13,1990-10-22,1.345,1990,10
14,1990-10-29,1.339,1990,10
15,1990-11-05,1.334,1990,11
16,1990-11-12,1.328,1990,11
17,1990-11-19,1.323,1990,11
18,1990-11-26,1.311,1990,11
20,1990-12-03,1.341,1990,12
21,1990-12-10,0.0,1990,12
22,1990-12-17,0.0,1990,12
23,1990-12-24,0.0,1990,12
24,1990-12-31,0.0,1990,12
25,1991-01-07,0.0,1991,1
26,1991-01-14,0.0,1991,1
27,1991-01-21,1.192,1991,1
28,1991-01-28,1.168,1991,1
30,1991-02-04,1.139,1991,2
31,1991-02-11,1.106,1991,2
32,1991-02-18,1.078,1991,2
33,1991-02-25,1.054,1991,2
35,1991-03-04,1.025,1991,3
36,1991-03-11,1.045,1991,3
37,1991-03-18,1.043,1991,3
38,1991-03-25,1.047,1991,3
40,1991-04-01,1.052,1991,4
41,1991-04-08,1.066,1991,4
42,1991-04-15,1.069,1991,4
43,1991-04-22,1.09,1991,4
44,1991-04-29,1.104,1991,4
45,1991-05-06,1.113,1991,5
46,1991-05-13,1.121,1991,5
47,1991-05-20,1.129,1991,5
48,1991-05-27,1.14,1991,5
50,1991-06-03,1.138,1991,6
51,1991-06-10,1.135,1991,6
52,1991-06-17,1.126,1991,6
53,1991-06-24,1.114,1991,6
55,1991-07-01,1.104,1991,7
56,1991-07-08,1.098,1991,7
57,1991-07-15,1.094,1991,7
58,1991-07-22,1.091,1991,7
59,1991-07-29,1.091,1991,7
60,1991-08-05,1.099,1991,8
61,1991-08-12,1.112,1991,8
62,1991-08-19,1.124,1991,8
63,1991-08-26,1.124,1991,8
65,1991-09-02,1.127,1991,9
66,1991-09-09,1.12,1991,9
67,1991-09-16,1.11,1991,9
68,1991-09-23,1.097,1991,9
69,1991-09-30,1.092,1991,9
70,1991-10-07,1.089,1991,10
71,1991-10-14,1.084,1991,10
72,1991-10-21,1.088,1991,10
73,1991-10-28,1.091,1991,10
75,1991-11-04,1.091,1991,11
76,1991-11-11,1.102,1991,11
77,1991-11-18,1.104,1991,11
78,1991-11-25,1.099,1991,11
80,1991-12-02,1.099,1991,12
81,1991-12-09,1.091,1991,12
82,1991-12-16,1.075,1991,12
83,1991-12-23,1.063,1991,12
84,1991-12-30,1.053,1991,12
85,1992-01-06,1.042,1992,1
86,1992-01-13,1.026,1992,1
87,1992-01-20,1.014,1992,1
88,1992-01-27,1.006,1992,1
90,1992-02-03,0.995,1992,2
91,1992-02-10,1.004,1992,2
92,1992-02-17,1.011,1992,2
93,1992-02-24,1.014,1992,2
95,1992-03-02,1.012,1992,3
96,1992-03-09,1.013,1992,3
97,1992-03-16,1.01,1992,3
98,1992-03-23,1.015,1992,3
99,1992-03-30,1.013,1992,3
100,1992-04-06,1.026,1992,4
101,1992-04-13,1.051,1992,4
102,1992-04-20,1.058,1992,4
103,1992-04-27,1.072,1992,4
105,1992-05-04,1.089,1992,5
106,1992-05-11,1.102,1992,5
107,1992-05-18,1.118,1992,5
108,1992-05-25,1.12,1992,5
110,1992-06-01,1.128,1992,6
111,1992-06-08,1.143,1992,6
112,1992-06-15,1.151,1992,6
113,1992-06-22,1.153,1992,6
114,1992-06-29,1.149,1992,6
115,1992-07-06,1.147,1992,7
116,1992-07-13,1.139,1992,7
117,1992-07-20,1.132,1992,7
118,1992-07-27,1.128,1992,7
120,1992-08-03,1.126,1992,8
121,1992-08-10,1.123,1992,8
122,1992-08-17,1.116,1992,8
123,1992-08-24,1.123,1992,8
124,1992-08-31,1.121,1992,8
125,1992-09-07,1.121,1992,9
126,1992-09-14,1.124,1992,9
127,1992-09-21,1.123,1992,9
128,1992-09-28,1.118,1992,9
130,1992-10-05,1.115,1992,10
131,1992-10-12,1.115,1992,10
132,1992-10-19,1.113,1992,10
133,1992-10-26,1.113,1992,10
135,1992-11-02,1.12,1992,11
136,1992-11-09,1.12,1992,11
137,1992-11-16,1.112,1992,11
138,1992-11-23,1.106,1992,11
139,1992-11-30,1.098,1992,11
140,1992-12-07,1.089,1992,12
141,1992-12-14,1.078,1992,12
142,1992-12-21,1.074,1992,12
143,1992-12-28,1.069,1992,12
145,1993-01-04,1.065,1993,1
146,1993-01-11,1.066,1993,1
147,1993-01-18,1.061,1993,1
148,1993-01-25,1.055,1993,1
150,1993-02-01,1.055,1993,2
151,1993-02-08,1.062,1993,2
152,1993-02-15,1.053,1993,2
153,1993-02-22,1.047,1993,2
155,1993-03-01,1.042,1993,3
156,1993-03-08,1.048,1993,3
157,1993-03-15,1.058,1993,3
158,1993-03-22,1.056,1993,3
159,1993-03-29,1.057,1993,3
160,1993-04-05,1.068,1993,4
161,1993-04-12,1.079,1993,4
162,1993-04-19,1.079,1993,4
163,1993-04-26,1.086,1993,4
165,1993-05-03,1.086,1993,5
166,1993-05-10,1.097,1993,5
167,1993-05-17,1.106,1993,5
168,1993-05-24,1.106,1993,5
169,1993-05-31,1.107,1993,5
170,1993-06-07,1.104,1993,6
171,1993-06-14,1.101,1993,6
172,1993-06-21,1.095,1993,6
173,1993-06-28,1.089,1993,6
175,1993-07-05,1.086,1993,7
176,1993-07-12,1.081,1993,7
177,1993-07-19,1.075,1993,7
178,1993-07-26,1.069,1993,7
180,1993-08-02,1.062,1993,8
181,1993-08-09,1.06,1993,8
182,1993-08-16,1.059,1993,8
183,1993-08-23,1.065,1993,8
184,1993-08-30,1.062,1993,8
185,1993-09-06,1.055,1993,9
186,1993-09-13,1.051,1993,9
187,1993-09-20,1.045,1993,9
188,1993-09-27,1.047,1993,9
190,1993-10-04,1.092,1993,10
191,1993-10-11,1.09,1993,10
192,1993-10-18,1.093,1993,10
193,1993-10-25,1.092,1993,10
195,1993-11-01,1.084,1993,11
196,1993-11-08,1.075,1993,11
197,1993-11-15,1.064,1993,11
198,1993-11-22,1.058,1993,11
199,1993-11-29,1.051,1993,11
200,1993-12-06,1.036,1993,12
201,1993-12-13,1.018,1993,12
202,1993-12-20,1.003,1993,12
203,1993-12-27,0.999,1993,12
205,1994-01-03,0.992,1994,1
206,1994-01-10,0.995,1994,1
207,1994-01-17,1.001,1994,1
208,1994-01-24,0.999,1994,1
209,1994-01-31,1.005,1994,1
210,1994-02-07,1.007,1994,2
211,1994-02-14,1.016,1994,2
212,1994-02-21,1.009,1994,2
213,1994-02-28,1.004,1994,2
215,1994-03-07,1.007,1994,3
216,1994-03-14,1.005,1994,3
217,1994-03-21,1.007,1994,3
218,1994-03-28,1.012,1994,3
220,1994-04-04,1.011,1994,4
221,1994-04-11,1.028,1994,4
222,1994-04-18,1.033,1994,4
223,1994-04-25,1.037,1994,4
225,1994-05-02,1.04,1994,5
226,1994-05-09,1.045,1994,5
227,1994-05-16,1.046,1994,5
228,1994-05-23,1.05,1994,5
229,1994-05-30,1.056,1994,5
230,1994-06-06,1.065,1994,6
231,1994-06-13,1.073,1994,6
232,1994-06-20,1.079,1994,6
233,1994-06-27,1.095,1994,6
235,1994-07-04,1.097,1994,7
236,1994-07-11,1.103,1994,7
237,1994-07-18,1.109,1994,7
238,1994-07-25,1.114,1994,7
240,1994-08-01,1.13,1994,8
241,1994-08-08,1.157,1994,8
242,1994-08-15,1.161,1994,8
243,1994-08-22,1.165,1994,8
244,1994-08-29,1.161,1994,8
245,1994-09-05,1.156,1994,9
246,1994-09-12,1.15,1994,9
247,1994-09-19,1.14,1994,9
248,1994-09-26,1.129,1994,9
250,1994-10-03,1.12,1994,10
251,1994-10-10,1.114,1994,10
252,1994-10-17,1.106,1994,10
253,1994-10-24,1.107,1994,10
254,1994-10-31,1.121,1994,10
255,1994-11-07,1.123,1994,11
256,1994-11-14,1.122,1994,11
257,1994-11-21,1.113,1994,11
258,1994-11-28,1.105,1994,11
260,1994-12-05,1.103,1994,12
261,1994-12-12,1.095,1994,12
262,1994-12-19,1.087,1994,12
263,1994-12-26,1.077,1994,12
265,1995-01-02,1.079,1995,1
266,1995-01-09,1.086,1995,1
267,1995-01-16,1.078,1995,1
268,1995-01-23,1.083,1995,1
269,1995-01-30,1.083,1995,1
270,1995-02-06,1.076,1995,2
271,1995-02-13,1.074,1995,2
272,1995-02-20,1.067,1995,2
